file_base,cluster,time_min,cytokine,TSNE1,TSNE2
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_10min.fcs,13,10,CD3,-40.7317168035113,-11.2013461967589
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_10min.fcs,18,10,CD3,15.3777904063491,-16.7871762947919
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_15min.fcs,19,15,CD3,-22.9406383551746,-25.5796582445367
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_15min.fcs,6,15,CD3,-37.3226304692918,-14.7738972841632
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_15min.fcs,16,15,CD3,-29.2138335784432,-20.6573854997855
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_15min.fcs,7,15,CD3,-32.3969763086957,-17.6172975297214
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_15min.fcs,15,15,CD3,-26.8773777218926,-22.1387939895559
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_15min.fcs,3,15,CD3,-32.8230406634464,-16.9897655622722
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_15min.fcs,8,15,CD3,-41.044877135975,-12.6843386003528
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_15min.fcs,14,15,CD3,-23.7425478768442,-24.7344861407934
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_15min.fcs,9,15,CD3,-35.748097984236,-15.4089553565743
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_15min.fcs,1,15,CD3,-29.081400830448,-18.1489615447089
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_15min.fcs,12,15,CD3,-37.0031932976303,-13.6168914969599
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_15min.fcs,5,15,CD3,-39.740269878357,-10.7943129821151
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_15min.fcs,11,15,CD3,-25.1225746558396,-22.6769360008159
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_15min.fcs,2,15,CD3,-29.1140504237525,-17.6708982412838
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_15min.fcs,10,15,CD3,-34.6278695955757,-16.0642128777433
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_15min.fcs,17,15,CD3,-40.6836063225749,-12.0311211729531
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_15min.fcs,4,15,CD3,11.6598974659726,-21.5784599926904
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_15min.fcs,20,15,CD3,-2.81953228152208,-42.1159482711667
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_15min.fcs,13,15,CD3,-41.0365273073554,-13.6670472904088
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_2min.fcs,2,2,CD3,-35.984444729861,-13.9461848319674
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_2min.fcs,6,2,CD3,-38.5206107620699,-14.1618415452465
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_2min.fcs,15,2,CD3,-32.1282171054754,-18.3475062472874
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_2min.fcs,7,2,CD3,-36.4504141564765,-14.8567405383117
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_2min.fcs,1,2,CD3,-30.1498881596197,-17.2211742608973
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_2min.fcs,13,2,CD3,-41.0718082147055,-12.7350150798717
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_2min.fcs,16,2,CD3,-30.6784579577314,-19.7010989990915
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_2min.fcs,17,2,CD3,-41.6511693037268,-11.9001236607238
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_2min.fcs,19,2,CD3,-31.3620955990756,-19.0746026548214
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_2min.fcs,5,2,CD3,-39.852051905159,-11.0008603242222
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_2min.fcs,14,2,CD3,-30.8866562172689,-19.5575038852483
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_2min.fcs,3,2,CD3,-33.607113492194,-16.741655537075
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_2min.fcs,10,2,CD3,-41.3105633511506,-12.6555733040389
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_2min.fcs,11,2,CD3,-36.6931878846083,-13.1775391930224
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_2min.fcs,9,2,CD3,-39.8063341511978,-13.1434484636517
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_2min.fcs,12,2,CD3,-39.779720725276,-11.4090526940538
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_2min.fcs,4,2,CD3,-5.14204715742594,-42.0285019469131
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_2min.fcs,20,2,CD3,-3.57839761045773,-42.5950317865574
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_2min.fcs,18,2,CD3,-13.5851094994327,-21.6471011041155
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_2min.fcs,8,2,CD3,-40.9250204591263,-13.3063372405321
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_30min.fcs,17,30,CD3,-41.7264052706868,-11.9593026285862
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_30min.fcs,7,30,CD3,-36.0521624219889,-15.2633854682781
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_30min.fcs,19,30,CD3,-23.0478681325856,-25.475992497443
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_30min.fcs,6,30,CD3,-36.8618371369942,-15.1164196893569
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_30min.fcs,9,30,CD3,-32.4759293993884,-17.7460753323381
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_30min.fcs,16,30,CD3,-29.5421166319066,-20.2972240520458
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_30min.fcs,1,30,CD3,-28.8045570559155,-18.2740952259564
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_30min.fcs,15,30,CD3,-30.9227874641716,-19.4452038642632
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_30min.fcs,3,30,CD3,-40.6632444945683,-13.0620436165653
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_30min.fcs,14,30,CD3,-23.0993986912649,-24.8008154651296
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_30min.fcs,2,30,CD3,-28.6801481621342,-18.4015243000639
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_30min.fcs,8,30,CD3,-39.7876292174902,-13.5719289228424
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_30min.fcs,12,30,CD3,-32.3638088572465,-18.0169575588533
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_30min.fcs,11,30,CD3,-26.5959371653887,-20.6818447770175
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_30min.fcs,4,30,CD3,4.5094164487573,-12.8840653495733
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_30min.fcs,5,30,CD3,-40.504814934485,-11.3250564822072
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_30min.fcs,18,30,CD3,-6.63383341346898,-16.5837712286685
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_30min.fcs,10,30,CD3,-38.9947010024074,-13.847788794177
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_30min.fcs,13,30,CD3,-42.1779089024796,-12.5211173524047
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_30min.fcs,20,30,CD3,-3.30000813276951,-44.0905096635345
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_5min.fcs,5,5,CD3,-39.9777973517554,-11.0906834524194
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_5min.fcs,6,5,CD3,-37.8897034084329,-14.5254474072974
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_5min.fcs,14,5,CD3,-30.6661857231514,-19.7007924921864
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_5min.fcs,19,5,CD3,-23.395765102669,-25.6112040790243
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_5min.fcs,15,5,CD3,-31.5635833170038,-18.7953435887666
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_5min.fcs,17,5,CD3,-41.5760038738943,-11.6587187164996
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_5min.fcs,7,5,CD3,-37.2106404311945,-14.4151060979918
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_5min.fcs,9,5,CD3,-37.5830448812561,-13.8331361171974
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_5min.fcs,11,5,CD3,-36.3273361415877,-13.5383620204813
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_5min.fcs,16,5,CD3,-30.5519916810139,-19.6895484062669
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_5min.fcs,4,5,CD3,3.24188336952602,-22.0828894251907
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_5min.fcs,8,5,CD3,-40.5062018016321,-13.1384064976293
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_5min.fcs,3,5,CD3,-33.5356662869955,-16.7843179860911
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_5min.fcs,1,5,CD3,-29.3720175351526,-17.7158196439564
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_5min.fcs,2,5,CD3,-34.9130874885045,-14.5597013149724
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_5min.fcs,10,5,CD3,-41.469437941431,-12.5748407155838
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_5min.fcs,20,5,CD3,-2.52097035965174,-42.5036023865793
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_5min.fcs,12,5,CD3,-37.0108426550788,-13.5207626311203
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_5min.fcs,13,5,CD3,-35.5823394333071,-15.3279934037697
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_5min.fcs,18,5,CD3,-21.59658612759,-27.3369354558466
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_60min.fcs,11,60,CD3,-38.449176324233,-13.9067852263925
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_60min.fcs,15,60,CD3,-35.815194150689,-16.1854306472153
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_60min.fcs,2,60,CD3,-38.6218355094482,-14.4132006889373
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_60min.fcs,16,60,CD3,-28.5789164764393,-11.8071609130786
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_60min.fcs,7,60,CD3,-37.5587950334623,-15.0327192211665
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_60min.fcs,9,60,CD3,-38.5748702542121,-14.102782620541
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_60min.fcs,3,60,CD3,-36.1489024287853,-16.2276635956981
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_60min.fcs,10,60,CD3,-41.3611207781082,-12.6650213502659
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_60min.fcs,6,60,CD3,-36.8556411133603,-15.9603273900872
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_60min.fcs,12,60,CD3,-40.5958350468449,-11.7942868156647
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_60min.fcs,14,60,CD3,-28.4806518582306,-11.8552907927171
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_60min.fcs,17,60,CD3,-42.0929493235562,-12.0232383246764
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_60min.fcs,19,60,CD3,-36.8019771355251,-14.7661491155709
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_60min.fcs,1,60,CD3,-28.4845732616357,-11.493125140531
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_60min.fcs,8,60,CD3,-41.8945920695279,-12.6374086824795
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_60min.fcs,5,60,CD3,-41.4325795263299,-11.8034605905311
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_60min.fcs,13,60,CD3,-38.8838351340107,-14.437833292185
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_60min.fcs,4,60,CD3,-22.8903264049695,-16.840442630694
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_60min.fcs,20,60,CD3,-2.96972805138632,-44.3134265662673
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_60min.fcs,18,60,CD3,-18.5928171740687,-1.32847281569399
